Fecha,CDS5Y,PD
24/01/2003,792.5,0.417408226
31/01/2003,805,0.422569384
07/02/2003,838.75,0.434344832
14/02/2003,845,0.437038162
21/02/2003,820,0.427037023
28/02/2003,787.5,0.414609481
07/03/2003,768.5,0.407210832
14/03/2003,765,0.405915113
21/03/2003,755,0.402063459
28/03/2003,730,0.391889242
04/04/2003,652.5,0.358221391
11/04/2003,647.5,0.356138076
18/04/2003,627.5,0.347101154
25/04/2003,600,0.334957658
02/05/2003,502.5,0.288973348
09/05/2003,490,0.282903296
16/05/2003,555,0.313739959
23/05/2003,560,0.316318861
30/05/2003,545,0.30921425
06/06/2003,517.5,0.296231289
13/06/2003,510,0.292390854
20/06/2003,530,0.303396744
27/06/2003,510,0.293365173
04/07/2003,515,0.295814645
11/07/2003,517.5,0.296769819
18/07/2003,507.5,0.29196825
25/07/2003,490,0.283828816
01/08/2003,522.5,0.299981628
08/08/2003,550,0.312307193
15/08/2003,529,0.302275601
22/08/2003,461.718,0.269425518
29/08/2003,474.187,0.275878632
05/09/2003,474.239,0.275878632
12/09/2003,476.771,0.277322539
19/09/2003,472.782,0.275795576
26/09/2003,489.298,0.283835952
03/10/2003,514.229,0.29627052
10/10/2003,456.808,0.26771637
17/10/2003,429.309,0.253716854
24/10/2003,456.798,0.267736831
31/10/2003,479.245,0.278717359
07/11/2003,476.692,0.277522454
14/11/2003,484.248,0.281032698
21/11/2003,479.504,0.278656624
28/11/2003,476.727,0.277220348
05/12/2003,451.212,0.264358172
12/12/2003,439.297,0.258621729
19/12/2003,449.301,0.263620162
26/12/2003,444.294,0.261363321
02/01/2004,444.271,0.261363321
09/01/2004,332.001,0.200491279
16/01/2004,367.972,0.219929673
23/01/2004,384.632,0.229276542
30/01/2004,451.81,0.263317863
06/02/2004,506.181,0.290495426
13/02/2004,509.289,0.291923509
20/02/2004,514.277,0.294363598
27/02/2004,476.834,0.27742167
05/03/2004,444.416,0.260859288
12/03/2004,439.443,0.258621729
19/03/2004,414.638,0.245894394
26/03/2004,400.985,0.238787951
02/04/2004,362.228,0.218201657
09/04/2004,361.308,0.218201657
16/04/2004,410.92,0.243976757
23/04/2004,432.847,0.255089302
30/04/2004,490.833,0.283931384
07/05/2004,606.942,0.337930691
14/05/2004,586.958,0.328788581
21/05/2004,597.612,0.333707945
